NAME,STATE,2000 POP.,1990 POP.
BOUNDARY COUNTY,ID,9871,8332
BUTTE COUNTY,ID,2899,2918
CAMAS COUNTY,ID,991,727
CANYON COUNTY,ID,131441,90076
CARIBOU COUNTY,ID,7304,6963
CASSIA COUNTY,ID,21416,19532
CLARK COUNTY,ID,1022,762
CLEARWATER COUNTY,ID,8930,8505
CUSTER COUNTY,ID,4342,4133
ELMORE COUNTY,ID,29130,21205
FRANKLIN COUNTY,ID,11329,9232
FREMONT COUNTY,ID,11819,10937
GEM COUNTY,ID,15181,11844
GOODING COUNTY,ID,14155,11633
IDAHO COUNTY,ID,15511,13783
JEFFERSON COUNTY,ID,19155,16543
JEROME COUNTY,ID,18342,15138
KOOTENAI COUNTY,ID,108685,69795
LATAH COUNTY,ID,34935,30617
LEMHI COUNTY,ID,7806,6899
LEWIS COUNTY,ID,3747,3516
LINCOLN COUNTY,ID,4044,3308
MADISON COUNTY,ID,27467,23674
MINIDOKA COUNTY,ID,20174,19361
NEZ PERCE COUNTY,ID,37410,33754
ONEIDA COUNTY,ID,4125,3492
OWYHEE COUNTY,ID,10644,8392
PAYETTE COUNTY,ID,20578,16434
POWER COUNTY,ID,7538,7086
SHOSHONE COUNTY,ID,13771,13931
TETON COUNTY,ID,5999,3439
TWIN FALLS COUNTY,ID,64284,53580
VALLEY COUNTY,ID,7651,6109
WASHINGTON COUNTY,ID,9977,8550
ADAMS COUNTY,IL,68277,66090
ALEXANDER COUNTY,IL,9590,10626
BOND COUNTY,IL,17633,14991
BOONE COUNTY,IL,41786,30806
BROWN COUNTY,IL,6950,5836
BUREAU COUNTY,IL,35503,35688
CALHOUN COUNTY,IL,5084,5322
CARROLL COUNTY,IL,16674,16805
CASS COUNTY,IL,13695,13437
CHAMPAIGN COUNTY,IL,179669,173025
CHRISTIAN COUNTY,IL,35372,34418
CLARK COUNTY,IL,17008,15921
CLAY COUNTY,IL,14560,14460
CLINTON COUNTY,IL,35535,33944
COLES COUNTY,IL,53196,51644
COOK COUNTY,IL,5376741,5105067
CRAWFORD COUNTY,IL,20452,19464
CUMBERLAND COUNTY,IL,11253,10670
DEKALB COUNTY,IL,88969,77932
DE WITT COUNTY,IL,16798,16516
DOUGLAS COUNTY,IL,19922,19464
DUPAGE COUNTY,IL,904161,781666
EDGAR COUNTY,IL,19704,19595
EDWARDS COUNTY,IL,6971,7440
EFFINGHAM COUNTY,IL,34264,31704
FAYETTE COUNTY,IL,21802,20893
FORD COUNTY,IL,14241,14275
FRANKLIN COUNTY,IL,39018,40319
FULTON COUNTY,IL,38250,38080
GALLATIN COUNTY,IL,6445,6909
GREENE COUNTY,IL,14761,15317
GRUNDY COUNTY,IL,37535,32337
HAMILTON COUNTY,IL,8621,8499
HANCOCK COUNTY,IL,20121,21373
HARDIN COUNTY,IL,4800,5189
HENDERSON COUNTY,IL,8213,8096
HENRY COUNTY,IL,51020,51159
IROQUOIS COUNTY,IL,31334,30787
JACKSON COUNTY,IL,59612,61067
JASPER COUNTY,IL,10117,10609
JEFFERSON COUNTY,IL,40045,37020
JERSEY COUNTY,IL,21668,20539
JO DAVIESS COUNTY,IL,22289,21821
JOHNSON COUNTY,IL,12878,11347
KANE COUNTY,IL,404119,317471
KANKAKEE COUNTY,IL,103833,96255
KENDALL COUNTY,IL,54544,39413
KNOX COUNTY,IL,55836,56393
LAKE COUNTY,IL,644356,516418
LA SALLE COUNTY,IL,111509,106913
LAWRENCE COUNTY,IL,15452,15972
LEE COUNTY,IL,36062,34392
LIVINGSTON COUNTY,IL,39678,39301
LOGAN COUNTY,IL,31183,30798
MCDONOUGH COUNTY,IL,32913,35244
MCHENRY COUNTY,IL,260077,183241
MCLEAN COUNTY,IL,150433,129180
MACON COUNTY,IL,114706,117206
MACOUPIN COUNTY,IL,49019,47679
MADISON COUNTY,IL,258941,249238
MARION COUNTY,IL,41691,41561
MARSHALL COUNTY,IL,13180,12846
MASON COUNTY,IL,16038,16269
MASSAC COUNTY,IL,15161,14752
MENARD COUNTY,IL,12486,11164
MERCER COUNTY,IL,16957,17290
MONROE COUNTY,IL,27619,22422
MONTGOMERY COUNTY,IL,30652,30728
MORGAN COUNTY,IL,36616,36397
MOULTRIE COUNTY,IL,14287,13930
OGLE COUNTY,IL,51032,45957
PEORIA COUNTY,IL,183433,182827
